studyDbId,studyName,studyDescription,trialType,breedingProgramDbId,breedingProgramName,breedingProgramDescription,studyYear,studyDesign,locationDbId,locationName,plantingDate,harvestDate,plotWidth,plotLength,plantsPerPlot,numberBlocks,numberReps,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,folderDbId,folderName,folderDescription,managementFactors
10487,BR.BAG3.PT.14.NH1A,BAG 2013/2014 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2014,RCBD,502,Laje (BA)-Novo Horizonte 1A,,,1.8,6.4,8,2,2,,no,no,10462,BR2014,, No ManagementFactor: 
10492,BR.BAG3.PT.15.NH1,BAG 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,293,Laje (BA)-Novo Horizonte 1,,,1.8,6.4,8,5,5,,no,no,10464,BR2015,, No ManagementFactor: 
10494,BR.BAG4.PT.15.EA2,BAG 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,4.8,8,13,13,,no,no,10464,BR2015,, No ManagementFactor: 
10498,BR.BAG4.PT.16.EA2,BAG 2015/2016 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2016,RCBD,37,Cruz Das Almas (BA)-CNPMF-Area 2,,,1.8,5.6,8,12,12,,no,no,10465,BR2016,, No ManagementFactor: 
10495,BR.BAG5.PT.15.Citrus,BAG (Val DFPC) 2014/2015 - Training population (T0),phenotyping_trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2015,RCBD,501,Cruz Das Almas (BA) CNPMF - Citrus,,,1.8,6.4,8,3,3,,no,no,10464,BR2015,, No ManagementFactor: 
5479,BR.CET.18.CNPMF,Clonal evaluation trial at area 2 in EMBRAPA Cassava and Fruits,Clonal Evaluation,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2019,Augmented,37,Cruz Das Almas (BA)-CNPMF-Area 2,2018-December-17,2019-September-20,0.9,6.4,,30,1,,no,no,4013,BR2018,, No ManagementFactor: 
8675,BR.CET.20.CNPMF,Clonal Evaluation trial from Seedlings 2020 of EMBRAPA,Clonal Evaluation,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2020,Augmented,37,Cruz Das Almas (BA)-CNPMF-Area 2,2020-November-30,,0.9,6.4,,22,1,,no,no,10531,BR.CET.20,, No ManagementFactor: 
6666,BR.PYTGS.19.NH2,"Genomic Selection Preliminary Yield Trial 2019 at Novo Horizonte 2, Laje, Bahia, Brazil",Preliminary Yield Trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2019,RCBD,297,Laje (BA)-Novo Horizonte 2A,2019-October-02,2020-July-31,4.8,1.8,5,2,2,,no,no,6571,BR.PYTGS.19,, No ManagementFactor: 
6668,BR.PYTGS.19.PP1,"Genomic Selection Preliminary Yield Trial 2019 at PP1/UFRB station, Cruz das Almas, Bahia, Brazil",Preliminary Yield Trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2019,RCBD,298,Cruz das Almas (BA)-UFRB-PP1,2019-October-02,,1.8,4.8,5,2,1,,no,no,6571,BR.PYTGS.19,, No ManagementFactor: 
6665,BR.PYTGS.19.RA1,"Genomic Selection Preliminary Yield Trial 2019 at Rio de Areia 1, Laje, Bahia, Brazil",Preliminary Yield Trial,3876,Embrapa,"Empresa Brasileira de Pesquisa Agropecuária, programa de mandioca",2019,RCBD,294,Laje (BA)-Rio de Areia 1,2019-October-02,,1.8,4.8,5,2,2,,no,no,6571,BR.PYTGS.19,, No ManagementFactor: 
